"","State","City","Year","Month","median_NO2","median_SO2","median_CO","median_O3"
"1","Arizona","Phoenix",2000,1,63,24.7999205816,37.600625,19
"2","Arizona","Phoenix",2000,2,56,17.62368,22.895625,28
"3","Arizona","Phoenix",2000,3,56,0.8937368936,16.473851275,39
"4","Arizona","Phoenix",2000,4,61,7.4391306808,17.220836225,46
"5","Arizona","Phoenix",2000,5,5,8.39091,14.130413775,49
"6","Arizona","Phoenix",2000,6,41.5,4.594845,8.5053554125,43
"7","Arizona","Phoenix",2000,7,44,4.08068,8.9978125,46
"8","Arizona","Phoenix",2000,8,44,2.81896,6.594163775,58
"9","Arizona","Phoenix",2000,9,49.5,8.056115,14.0115889375,38.5
"10","Arizona","Phoenix",2000,10,50,5.6898737872,13.78467165,29
"11","Arizona","Phoenix",2000,11,53,7.60901,21.028125,17
"12","Arizona","Phoenix",2000,12,58,15.94594,35.8745622,14
"13","Arizona","Phoenix",2001,1,51,8.89254,23.390114425,20
"14","Arizona","Phoenix",2001,2,52.5,7.0358631064,17.85610935,22
"15","Arizona","Phoenix",2001,3,54,8.17444,14.781038775,37
"16","Arizona","Phoenix",2001,4,55,4.4474402908,12.3035311,42.5
"17","Arizona","Phoenix",2001,5,50,9.09046,12.486364425,47
"18","Arizona","Phoenix",2001,6,44,5.3737734468,7.2688556125,46
"19","Arizona","Phoenix",2001,7,37,5.50159,6.124273725,43
"20","Arizona","Phoenix",2001,8,42,4.47652,7.8471875,49
"21","Arizona","Phoenix",2001,9,45,12.8526131064,14.1996875,39
"22","Arizona","Phoenix",2001,10,50,16.10839,17.359133075,31
"23","Arizona","Phoenix",2001,11,49.5,8.926885,21.1696368625,22
"24","Arizona","Phoenix",2001,12,50,15.18748,29.6065625,14
"25","Arizona","Phoenix",2002,1,60,14.553888,30.28125,19
"26","Arizona","Phoenix",2002,2,62.5,15.431201,28.245054975,29.5
"27","Arizona","Phoenix",2002,3,51,10.00648,16.823226275,40
"28","Arizona","Phoenix",2002,4,51.5,8.537565,13.02143745,39.5
"29","Arizona","Phoenix",2002,5,55.5,11.8102552908,14.4768243625,47.5
"30","Arizona","Phoenix",2002,6,51,8.0380915532,12.3141131375,46.5
"31","Arizona","Phoenix",2002,7,38,4.80041,8.889375,41
"32","Arizona","Phoenix",2002,8,44,6.47978,8.027913775,42
"33","Arizona","Phoenix",2002,9,46,5.23824,11.9538635375,41.5
"34","Arizona","Phoenix",2002,10,58,8.91598,23.757086225,34
"35","Arizona","Phoenix",2002,11,55.5,11.0470565532,23.6968243625,25
"36","Arizona","Phoenix",2002,12,45,10.22458,25.558336225,13
"37","Arizona","Phoenix",2003,1,54,14.97264,28.47402585,14
"38","Arizona","Phoenix",2003,2,50.5,9.88734,14.2629181125,23.5
"39","Arizona","Phoenix",2003,3,57,5.54032,13.65106895,35
"40","Arizona","Phoenix",2003,4,52.5,7.8334134468,7.5641834625,44.5
"41","Arizona","Phoenix",2003,5,54,6.8142005816,8.636351275,58
"42","Arizona","Phoenix",2003,6,38,11.696755,7.1634375,46
"43","Arizona","Phoenix",2003,7,36,3.03706,6.1965625,49
"44","Arizona","Phoenix",2003,10,52,8.3038865532,16.94671875,34
"45","Arizona","Phoenix",2003,11,50,10.75291,19.588226275,21
"46","Arizona","Phoenix",2003,12,50,10.35544,22.775101275,17
"47","Arizona","Phoenix",2004,1,52,9.70277,17.1846875,20
"48","Arizona","Phoenix",2004,2,51,9.28512,13.052086225,29
"49","Arizona","Phoenix",2004,3,51,6.3334862128,9.443538775,38
"50","Arizona","Phoenix",2004,4,51,4.45145,9.166461225,47
